adaptation_rate,choke_prob,cover_prob,max_ticks,n_agents,objective_controller,objective_progress,objective_radius,seed,stochasticity,ticks,wall_prob,weapon_cooldown_ticks
0.11522873628618642,0.05111440799198317,0.11690607122230551,200,30,1.0,0.5199999999999999,8,1011,0.07303147266284303,200.0,0.14963072879870654,2
0.16695382133240455,0.05055421728844849,0.16692508306855677,200,30,1.0,0.6799999999999999,10,1010,0.18408104963096777,200.0,0.029487614294825756,2
0.0833859943412446,0.0133087086574748,0.05206884344367732,200,30,1.0,0.0,10,1004,0.2845149461206823,200.0,0.2279422034640944,3
0.06203995920821074,0.06611646969871933,0.02284222286588741,200,30,0.0,1.0,3,1007,0.09609371970461379,200.0,0.1099789390878081,2
0.1806394189437204,0.09957623973379544,0.19671212742097718,200,30,0.0,1.0,8,1000,0.23491489654632228,200.0,0.2208271556193384,2
0.037112908554078186,0.0181107305572807,0.05247319910776053,200,30,0.0,1.0,6,1014,0.08857466594470535,200.0,0.15725308032575067,1
0.02078634526467143,0.09741365369955007,0.0048453156166995874,200,30,1.0,1.0,6,1009,0.027492976126386296,200.0,0.16673539616609923,1
0.08116792269164286,0.06256364502932017,0.036244754603259294,200,30,1.0,0.0,11,1008,0.3909053444342253,200.0,0.09582287813009438,2
0.09369930917766289,0.03968064636105426,0.1201966370743369,200,30,0.0,0.45999999999999946,8,1001,0.20906309649178603,200.0,0.014440181905834366,2
0.03547691122204003,0.044468287521870854,0.11533961877628801,200,30,0.0,0.06,10,1005,0.04395971157607723,200.0,0.20226838449495255,2
0.12567267268741522,0.08652362190856892,0.023725300207292705,200,30,0.0,0.8099999999999998,4,1012,0.3117309170771031,200.0,0.0745797595956118,2
0.023956173662550574,0.0988984252685427,0.06321846121454432,200,30,1.0,0.0,12,1003,0.2415999740316247,200.0,0.01682656352308055,2
0.04910927429504126,0.0934494127801709,0.08185394751511213,200,30,1.0,0.0,11,1013,0.07680459527592515,200.0,0.04674883594865336,1
0.07383917164337021,0.0028717220510154663,0.12967462936734808,200,30,0.0,1.0,11,1002,0.27345201445688944,200.0,0.005898782394109294,1
0.059869326071745846,0.09030922797826352,0.07528493433847401,200,30,1.0,0.17999999999999972,7,1006,0.012960134077077898,200.0,0.053729880162603834,1
0.016683589861500835,0.09462335426015483,0.1730448366733412,200,30,0.0,1.0,7,1015,0.48972833583892683,200.0,0.11380459144325931,2
0.18600490839499093,0.09211289672993722,0.14914152515401607,200,30,1.0,0.0,9,1018,0.3437732622371419,200.0,0.1424733310087146,3
0.18282717045095337,0.0015999908951075635,0.13989525229617517,200,30,0.0,0.0,9,1016,0.16328969371800162,200.0,0.2465099014700876,3
0.10516665332632243,0.09495170287809278,0.040509553093230156,200,30,1.0,0.0,10,1020,0.09922097918889518,200.0,0.049044419357567995,3
0.01276200443643277,0.08140540645910256,0.09655898420822134,200,30,1.0,0.47999999999999954,6,1017,0.09477853610122441,200.0,0.1855770426527681,2
0.163605638643163,0.04653163649412639,0.16915624793502898,200,30,1.0,0.0,7,1021,0.09335780339282314,200.0,0.01310122131191726,3
0.16792342366904178,0.09381107125069806,0.06349904218065253,200,30,0.0,0.0,11,1019,0.49898888263616314,200.0,0.23682468506954316,2
0.12219042386786526,0.09816970043924833,0.15198091888555115,200,30,1.0,0.0,8,1024,0.1575490240289507,200.0,0.030469189075971095,3
0.1597058915371633,0.06483232855786053,0.009602308867425888,200,30,0.0,1.0,4,1027,0.15126564955551275,200.0,0.22506849154612127,2
0.1499446801999009,0.0037203894034281526,0.18479236905459817,200,30,1.0,1.0,8,1022,0.10436756095059384,200.0,0.22586245647315145,2
0.1546604960870651,0.019123460840771683,0.11293888011720905,200,30,1.0,0.94,6,1028,0.48558214495547186,200.0,0.15255344625584608,3
0.15352705236299477,0.02514873515814979,0.16590580256652093,200,30,0.0,1.0,5,1030,0.004222607402096794,200.0,0.1644966464091627,2
0.1400877275909167,0.033850185264485404,0.13050944320034677,200,30,0.0,1.0,4,1026,0.06534961734949388,200.0,0.06569057371070652,2
0.07855799859934005,0.052715051821354844,0.16350974892753106,200,30,1.0,0.0,12,1023,0.4808715976129803,200.0,0.018174096764816888,2
0.15195531628566208,0.06939114565846059,0.19053343611404128,200,30,1.0,1.0,6,1025,0.25185782523432226,200.0,0.015177460518366681,1
0.16218511268599733,0.03878595052132899,0.03396969172727612,200,30,1.0,1.0,10,1029,0.442921337460483,200.0,0.18262080471110992,1
0.14133578427730795,0.04137396398772122,0.1046622144880553,200,30,1.0,0.0,12,1041,0.2775085626290599,200.0,0.1319558890806198,3
