metric,mean,stddev,stderr,ci95_low,ci95_high
ticks,200.0,0.0,0.0,200.0,200.0
objective_progress,0.7929751999999999,0.31675640408862354,0.001001671700364722,0.791011959542952,0.7949384404570478
objective_controller,0.48303,0.4997144346976205,0.0015802357933079557,0.47993279475803535,0.4861272052419647
