parameter,s1,s1_conf
Adaptation Rate,0.09195917851024467,0.5181883305818844
Choke Probability,0.10605397552039028,0.47642774936946997
Cover Probability,0.010652899980334533,0.4420525922530325
Objective Radius,0.013675139363467322,0.4290210972667297
Stochasticity,0.17983871750160343,0.3860777558030734
Wall Probability,0.11763805649766397,0.4440064754179896
Weapon Cooldown Ticks,-0.011802049209232064,0.44410162607755677
