tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,15,15,0,0
11,-1,0.0,15,15,0,0
12,1,0.04,15,15,0,0
13,1,0.02,15,14,1,0
14,1,0.0,15,14,1,0
15,1,0.0,15,14,1,0
16,1,0.0,15,13,2,0
17,1,0.0,13,12,3,2
18,1,0.0,13,13,3,2
19,1,0.0,13,12,4,2
20,1,0.0,13,12,4,2
21,1,0.0,12,12,5,3
22,1,0.0,13,11,7,4
23,1,0.0,12,11,7,5
24,1,0.0,12,12,7,5
25,1,0.0,11,10,9,6
26,1,0.0,12,11,9,6
27,1,0.0,13,12,10,6
28,1,0.0,13,11,11,7
29,1,0.0,13,10,12,7
30,1,0.0,14,12,12,7
31,1,0.0,13,11,13,8
32,1,0.0,13,11,14,8
33,1,0.0,13,11,15,9
34,1,0.0,13,12,15,9
35,1,0.0,13,11,16,9
36,1,0.0,13,12,16,10
37,1,0.0,13,12,17,10
38,1,0.0,13,13,17,11
39,1,0.0,13,13,17,11
40,1,0.0,13,13,18,11
41,1,0.0,13,13,18,12
42,1,0.0,13,14,18,12
43,1,0.0,14,13,19,12
44,1,0.0,13,12,20,13
45,1,0.0,12,12,21,14
46,1,0.0,13,12,21,14
47,1,0.0,13,11,22,14
48,1,0.0,13,11,23,14
49,1,0.0,13,12,23,15
50,1,0.0,14,13,23,15
51,1,0.0,13,12,24,16
52,1,0.0,13,12,25,16
53,1,0.0,12,13,25,17
54,1,0.0,11,13,25,19
55,1,0.0,11,13,25,19
56,1,0.0,12,13,26,19
57,1,0.0,12,13,27,19
58,1,0.0,12,13,27,20
59,1,0.0,13,13,27,21
60,1,0.0,13,13,27,21
61,1,0.0,12,13,28,22
62,1,0.0,12,14,28,22
63,1,0.0,13,14,28,22
64,1,0.0,14,14,28,22
65,1,0.0,14,13,29,22
66,1,0.0,13,14,29,24
67,1,0.0,13,14,29,24
68,1,0.0,12,14,29,25
69,1,0.0,11,14,29,26
70,1,0.0,11,15,29,26
71,1,0.0,12,14,30,27
72,1,0.0,12,14,30,27
73,1,0.0,12,13,31,28
74,1,0.0,12,13,31,29
75,1,0.0,11,12,32,30
76,1,0.0,12,13,32,30
77,1,0.0,11,13,32,31
78,1,0.0,12,14,32,31
79,1,0.0,12,13,33,32
80,1,0.0,13,13,34,32
81,1,0.0,12,12,35,33
82,1,0.0,13,12,35,33
83,1,0.0,12,11,36,34
84,1,0.0,13,12,36,34
85,1,0.0,11,12,37,36
86,1,0.0,11,13,37,37
87,1,0.0,11,13,37,37
88,1,0.0,12,14,37,37
89,1,0.0,12,14,37,37
90,1,0.0,14,15,37,37
91,1,0.0,14,15,37,38
92,1,0.0,14,14,38,38
93,1,0.0,13,14,38,39
94,1,0.0,12,14,38,40
95,1,0.0,11,13,39,41
96,1,0.0,12,13,39,41
97,1,0.0,12,13,40,41
98,1,0.0,12,13,40,42
99,1,0.0,13,13,40,42
100,1,0.0,14,12,42,42
101,1,0.0,13,11,43,43
102,1,0.0,12,12,43,44
103,1,0.0,13,11,44,44
104,1,0.0,13,11,44,44
105,1,0.0,12,11,46,45
106,1,0.0,12,12,46,46
107,1,0.0,13,11,47,46
108,1,0.0,13,12,47,46
109,1,0.0,12,11,48,47
110,1,0.0,13,13,48,47
111,1,0.0,14,13,48,47
112,1,0.0,14,14,48,47
113,1,0.0,13,13,49,48
114,1,0.0,14,14,49,48
115,1,0.0,14,14,49,48
116,1,0.0,14,13,50,48
117,1,0.0,12,12,51,50
118,1,0.0,13,12,52,50
119,1,0.0,13,12,52,50
120,1,0.0,13,12,52,50
121,1,0.0,12,12,53,51
122,1,0.0,14,13,53,51
123,1,0.0,14,14,53,51
124,1,0.0,14,13,54,51
125,1,0.0,12,12,55,53
126,1,0.0,13,13,55,53
127,1,0.0,13,13,55,53
128,1,0.0,12,12,56,54
129,1,0.0,11,12,57,55
130,1,0.0,13,13,57,55
131,1,0.0,12,12,58,56
132,1,0.0,12,12,58,56
133,1,0.0,12,13,58,57
134,1,0.0,13,14,58,57
135,1,0.0,11,13,59,59
136,1,0.0,12,14,59,59
137,1,0.0,11,14,59,60
138,1,0.0,11,14,59,61
139,1,0.0,10,14,59,62
140,1,0.0,12,15,59,62
141,1,0.0,12,13,61,62
142,1,0.0,12,13,61,63
143,1,0.0,12,12,62,64
144,1,0.0,13,12,62,64
145,1,0.0,12,12,62,65
146,1,0.0,12,13,63,65
147,1,0.0,12,13,63,66
148,1,0.0,13,14,63,66
149,1,0.0,13,12,65,66
150,1,0.0,13,12,65,67
151,1,0.0,13,12,66,67
152,1,0.0,13,12,66,68
153,1,0.0,13,12,66,68
154,1,0.0,12,13,67,69
155,1,0.0,13,12,68,69
156,1,0.0,12,13,68,70
