tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,15,15,0,0
11,-1,0.0,15,15,0,0
12,-1,0.0,15,14,1,0
13,-1,0.0,15,14,1,0
14,1,0.04,15,14,1,0
15,1,0.08,14,12,3,1
16,1,0.06,13,11,4,2
17,1,0.039999999999999994,13,12,4,2
18,1,0.019999999999999993,11,11,5,4
19,1,0.0,10,11,5,5
20,1,0.0,11,13,5,5
21,1,0.0,12,13,6,5
22,1,0.0,11,13,6,6
23,1,0.0,12,14,6,7
24,1,0.0,12,13,7,8
25,1,0.0,11,12,8,9
26,1,0.0,10,12,9,10
27,1,0.0,10,12,9,11
28,1,0.0,11,12,9,11
29,1,0.0,11,12,10,12
30,1,0.04,11,13,10,13
31,1,0.02,11,14,10,14
32,1,0.06,12,14,10,14
33,1,0.1,11,13,11,15
34,1,0.14,12,14,11,15
35,1,0.18000000000000002,12,14,11,16
36,1,0.22000000000000003,12,14,11,17
37,1,0.26,11,14,11,18
38,1,0.3,12,15,11,18
39,1,0.33999999999999997,12,15,11,18
40,1,0.37999999999999995,12,15,11,19
41,1,0.35999999999999993,13,13,13,19
42,1,0.3999999999999999,12,13,13,21
43,1,0.4399999999999999,11,13,13,22
44,1,0.47999999999999987,10,12,14,23
45,1,0.45999999999999985,11,12,14,23
46,1,0.43999999999999984,11,13,15,23
47,1,0.4199999999999998,12,13,15,24
48,1,0.3999999999999998,13,12,16,24
49,1,0.3799999999999998,13,13,16,25
50,1,0.41999999999999976,12,13,16,26
51,1,0.39999999999999974,12,13,17,26
52,1,0.4399999999999997,12,13,17,27
53,1,0.4199999999999997,12,14,17,27
54,1,0.4599999999999997,12,14,17,28
55,1,0.43999999999999967,13,13,18,28
56,1,0.47999999999999965,12,14,18,29
57,1,0.5199999999999997,12,13,19,30
58,1,0.49999999999999967,12,10,22,30
59,1,0.47999999999999965,13,10,22,30
60,1,0.45999999999999963,13,10,23,30
61,1,0.4399999999999996,12,10,23,32
62,1,0.4199999999999996,13,10,24,32
63,1,0.3999999999999996,12,13,24,33
64,1,0.37999999999999956,12,12,25,33
65,1,0.35999999999999954,11,12,26,34
66,1,0.3399999999999995,12,12,26,35
67,1,0.29999999999999954,12,11,28,35
68,1,0.25999999999999956,12,11,28,36
69,1,0.23999999999999957,12,12,28,36
70,1,0.21999999999999958,13,13,28,36
71,1,0.1999999999999996,14,12,29,36
72,1,0.1799999999999996,12,14,29,38
73,1,0.15999999999999961,12,13,30,39
74,1,0.11999999999999961,12,12,31,39
75,1,0.0799999999999996,11,12,31,40
76,1,0.0399999999999996,11,13,31,40
77,1,0.019999999999999598,12,13,31,41
78,1,0.0,12,14,31,42
79,1,0.0,11,15,31,43
80,1,0.0,12,14,32,43
81,1,0.0,11,14,32,44
82,1,0.0,12,13,33,44
83,1,0.0,12,13,33,45
84,1,0.0,13,13,33,45
85,1,0.0,12,13,34,46
86,1,0.0,13,13,34,46
87,1,0.0,12,14,34,47
88,1,0.0,13,13,35,47
89,1,0.0,13,11,37,47
90,1,0.0,14,12,37,47
91,1,0.0,13,12,37,48
92,1,0.0,14,9,40,48
93,0,0.04,13,10,40,49
94,0,0.08,13,12,40,49
95,0,0.12,12,11,41,50
96,0,0.16,13,11,41,50
97,0,0.2,13,14,41,50
98,0,0.24000000000000002,14,13,42,50
99,0,0.22000000000000003,14,13,42,50
100,0,0.26,15,13,43,50
101,0,0.24000000000000002,15,13,43,50
102,0,0.28,15,11,45,50
103,0,0.32,14,12,45,51
104,0,0.36,14,11,46,51
105,0,0.39999999999999997,14,12,46,51
106,0,0.43999999999999995,14,11,47,51
107,0,0.4799999999999999,14,11,49,51
108,0,0.5199999999999999,15,11,49,51
109,0,0.5599999999999999,15,12,49,51
110,0,0.6,14,10,51,52
111,0,0.64,14,10,52,52
112,0,0.68,13,11,53,53
113,0,0.7200000000000001,13,11,53,53
114,0,0.7600000000000001,12,10,54,54
115,0,0.8000000000000002,12,11,55,55
116,0,0.8400000000000002,12,11,56,55
117,0,0.8800000000000002,13,12,56,55
118,0,0.9200000000000003,13,11,57,55
119,0,0.9600000000000003,14,12,57,55
120,0,1.0,15,11,59,55
121,0,1.0,15,12,59,55
122,0,1.0,15,11,60,55
123,0,1.0,15,12,60,55
124,0,1.0,15,11,61,55
125,0,1.0,14,13,61,56
126,0,1.0,14,12,62,56
127,0,1.0,14,12,63,56
128,0,1.0,14,11,64,56
129,0,1.0,14,11,65,56
130,0,1.0,15,11,65,56
131,0,1.0,15,11,66,56
132,0,1.0,14,11,67,57
133,0,1.0,14,12,67,57
134,0,1.0,14,12,68,57
135,0,1.0,14,11,69,57
136,0,1.0,14,11,70,57
137,0,1.0,15,11,71,57
