tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,15,15,0,0
11,-1,0.0,15,15,0,0
12,-1,0.0,15,15,0,0
13,-1,0.0,14,14,1,1
14,1,0.04,14,14,1,1
15,1,0.08,13,14,1,2
16,1,0.06,13,11,4,2
17,1,0.039999999999999994,11,11,4,4
18,1,0.019999999999999993,11,12,4,5
19,1,0.0,9,10,6,7
20,1,0.0,10,10,6,7
21,1,0.0,8,12,7,9
22,1,0.0,9,12,7,10
23,1,0.0,9,11,8,11
24,1,0.0,11,13,8,11
25,1,0.0,10,12,9,12
26,1,0.0,12,13,9,12
27,1,0.04,12,12,10,13
28,1,0.08,12,13,10,14
29,1,0.12,12,13,10,14
30,1,0.16,13,14,10,14
31,1,0.2,13,12,12,14
32,1,0.24000000000000002,13,13,12,15
33,1,0.28,14,13,12,15
34,1,0.32,12,11,14,17
35,1,0.36,12,11,14,17
36,1,0.39999999999999997,12,13,14,17
37,1,0.37999999999999995,13,11,16,17
38,1,0.35999999999999993,12,11,16,18
39,1,0.3399999999999999,14,13,16,18
40,1,0.3199999999999999,14,13,16,18
41,1,0.2999999999999999,12,12,17,20
42,1,0.27999999999999986,12,13,18,20
43,1,0.25999999999999984,13,12,19,20
44,1,0.23999999999999985,13,12,19,20
45,1,0.21999999999999986,13,10,21,20
46,1,0.19999999999999987,13,11,21,22
47,1,0.15999999999999986,13,11,22,22
48,1,0.11999999999999986,13,12,22,22
49,1,0.07999999999999985,13,12,22,22
50,1,0.059999999999999845,12,14,22,23
51,1,0.03999999999999984,13,14,22,24
52,0,0.04,13,14,23,24
53,0,0.02,11,14,23,26
54,0,0.0,10,13,24,27
55,0,0.0,11,13,24,27
56,0,0.0,11,13,24,28
57,0,0.0,10,12,26,29
58,0,0.0,12,12,26,29
59,0,0.0,13,13,26,29
60,1,0.04,11,12,27,31
61,1,0.02,12,12,27,31
62,1,0.0,12,14,27,32
63,1,0.0,11,13,28,33
64,1,0.04,10,12,29,34
65,1,0.08,12,13,29,34
66,1,0.12,11,13,29,35
67,1,0.09999999999999999,12,11,31,35
68,1,0.07999999999999999,12,11,32,36
69,1,0.059999999999999984,13,12,32,36
70,1,0.09999999999999998,12,11,33,37
71,1,0.07999999999999997,13,11,33,37
72,1,0.05999999999999997,13,13,33,37
73,1,0.09999999999999998,14,12,35,37
74,1,0.07999999999999997,13,12,35,38
75,1,0.05999999999999997,14,12,36,38
76,1,0.039999999999999966,13,11,37,39
77,1,0.019999999999999966,13,11,37,39
78,1,0.0,13,13,37,39
79,0,0.04,14,11,39,39
80,0,0.08,13,11,40,40
81,0,0.06,14,12,40,40
82,0,0.1,13,12,40,41
83,0,0.08,13,11,41,41
84,0,0.06,12,13,41,42
85,0,0.039999999999999994,13,14,41,42
86,0,0.019999999999999993,12,13,42,43
87,0,0.0,13,13,42,43
88,0,0.0,13,14,42,43
89,0,0.0,14,13,43,43
90,0,0.0,12,13,43,45
91,0,0.0,12,14,43,46
92,0,0.0,11,13,44,47
93,0,0.0,11,12,45,47
94,0,0.0,11,13,45,47
95,0,0.0,13,12,46,47
96,0,0.0,12,11,47,49
97,0,0.0,12,12,47,50
98,0,0.0,12,12,48,50
99,1,0.04,11,11,49,51
100,1,0.02,10,11,50,52
101,1,0.0,12,11,51,52
102,1,0.0,12,11,51,53
103,1,0.0,12,10,53,53
104,1,0.0,13,11,53,53
105,1,0.0,14,10,55,53
106,1,0.0,13,11,55,54
107,1,0.0,14,11,55,54
108,1,0.0,14,13,55,54
109,1,0.0,14,12,56,54
110,0,0.04,14,13,57,54
111,0,0.08,15,12,58,54
112,0,0.12,14,12,58,55
113,0,0.16,14,11,59,55
114,0,0.2,14,11,60,55
115,0,0.18000000000000002,13,12,60,56
116,0,0.22000000000000003,13,12,61,56
117,0,0.26,14,11,62,56
118,0,0.3,13,12,62,57
119,0,0.27999999999999997,13,12,63,57
120,0,0.31999999999999995,13,12,63,58
121,0,0.35999999999999993,13,11,65,58
122,0,0.3399999999999999,13,12,65,58
123,0,0.3199999999999999,14,11,66,58
124,0,0.2999999999999999,13,12,66,59
125,0,0.33999999999999986,14,11,67,59
126,0,0.37999999999999984,13,12,68,60
127,0,0.4199999999999998,13,11,69,60
128,0,0.4599999999999998,13,11,70,60
129,0,0.4999999999999998,13,10,71,61
130,0,0.47999999999999976,13,11,71,61
131,0,0.5199999999999998,14,12,71,61
132,0,0.5599999999999998,14,11,73,61
133,0,0.5999999999999999,14,11,74,61
134,0,0.6399999999999999,15,12,74,61
135,0,0.6799999999999999,14,11,75,62
136,0,0.72,14,10,76,62
137,0,0.76,14,12,76,62
138,0,0.8,14,12,77,62
139,0,0.8400000000000001,13,11,78,63
