tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,15,15,0,0
11,-1,0.0,15,15,0,0
12,-1,0.0,15,15,0,0
13,1,0.04,15,14,1,0
14,1,0.08,15,14,1,0
15,1,0.06,13,13,2,2
16,1,0.039999999999999994,13,13,2,2
17,1,0.019999999999999993,12,12,3,3
18,1,0.0,12,13,3,3
19,1,0.0,11,12,4,4
20,1,0.0,13,12,5,4
21,1,0.0,13,11,6,4
22,1,0.0,14,12,6,4
23,1,0.0,13,11,7,5
24,1,0.0,14,12,7,5
25,1,0.0,13,12,8,6
26,1,0.0,13,13,8,6
27,1,0.0,13,12,9,6
28,1,0.0,13,13,9,7
29,1,0.0,12,12,10,8
30,1,0.0,13,13,10,8
31,1,0.0,13,12,11,8
32,1,0.0,11,13,11,10
33,1,0.0,12,11,13,10
34,1,0.0,13,12,13,10
35,1,0.0,13,11,14,10
36,1,0.0,12,12,14,11
37,1,0.0,14,11,15,11
38,1,0.0,13,13,15,12
39,1,0.0,12,13,15,13
40,1,0.0,12,14,15,13
41,1,0.0,13,13,16,13
42,1,0.0,13,13,17,13
43,1,0.0,14,12,18,13
44,1,0.0,15,11,19,13
45,1,0.0,14,11,19,14
46,1,0.0,14,11,20,14
47,1,0.0,14,11,21,14
48,1,0.0,14,11,22,14
49,1,0.0,14,11,23,14
50,1,0.0,15,10,24,14
51,0,0.04,15,10,25,14
52,0,0.02,14,11,25,15
53,0,0.0,14,11,26,15
54,0,0.0,13,11,27,16
55,0,0.0,13,12,27,16
56,0,0.0,13,12,28,16
57,0,0.0,14,12,28,16
58,0,0.0,13,12,29,17
59,0,0.04,14,12,30,17
60,0,0.02,14,12,30,17
61,0,0.0,14,12,31,17
62,0,0.0,13,12,31,18
63,0,0.0,14,12,32,18
64,0,0.0,14,12,33,18
65,0,0.0,13,11,34,19
66,0,0.0,13,11,35,19
67,0,0.0,13,11,35,20
68,0,0.0,13,11,36,20
69,0,0.0,13,12,36,20
70,0,0.0,14,13,36,20
71,0,0.0,14,14,36,20
72,0,0.0,15,12,38,20
73,0,0.0,14,12,39,21
74,0,0.0,14,12,39,21
75,0,0.0,14,11,40,21
76,0,0.0,14,10,41,21
77,0,0.0,14,12,41,21
78,0,0.04,15,11,43,21
79,0,0.02,14,11,43,22
80,0,0.0,13,11,44,23
81,0,0.0,13,11,45,23
82,0,0.0,13,10,46,23
83,0,0.0,13,12,46,23
84,0,0.0,14,11,47,23
85,0,0.0,15,12,47,23
86,0,0.0,15,12,48,23
87,0,0.0,14,13,48,24
88,0,0.0,14,12,49,24
89,0,0.0,14,13,49,24
90,0,0.04,14,11,51,24
91,0,0.02,14,12,51,24
92,0,0.0,15,10,53,24
93,0,0.0,14,11,53,25
94,0,0.0,14,10,54,25
95,0,0.0,14,12,54,25
96,0,0.0,14,10,56,25
97,0,0.0,12,12,56,27
98,0,0.0,13,11,57,27
99,0,0.0,13,11,58,27
100,0,0.0,12,11,58,28
101,0,0.04,11,12,59,29
102,0,0.02,13,11,60,29
103,0,0.0,13,12,60,29
104,0,0.0,13,12,61,29
105,0,0.0,13,12,61,30
106,0,0.0,14,12,62,30
107,0,0.0,14,13,62,30
108,0,0.0,14,12,63,30
109,0,0.0,14,13,63,30
110,0,0.0,15,12,64,30
111,0,0.0,15,12,65,30
112,0,0.0,15,12,65,30
113,0,0.0,14,12,66,31
114,0,0.0,14,11,67,31
115,0,0.0,14,12,67,31
116,0,0.0,13,12,68,32
117,0,0.0,13,12,68,32
118,0,0.0,14,12,69,32
119,0,0.0,14,13,69,32
120,0,0.0,14,13,69,32
121,0,0.0,12,13,70,35
122,0,0.0,12,12,71,35
123,0,0.0,11,13,71,36
124,0,0.0,11,13,71,36
125,0,0.0,11,12,72,36
126,0,0.0,14,12,73,36
127,0,0.0,13,12,74,37
128,0,0.0,13,12,74,38
129,0,0.0,13,11,75,38
130,0,0.0,13,11,76,38
131,0,0.0,12,12,76,39
132,0,0.0,13,12,77,39
133,0,0.0,13,12,77,40
134,0,0.0,13,13,77,40
135,0,0.0,13,13,78,40
136,0,0.0,13,13,78,41
137,0,0.0,13,14,78,41
138,0,0.0,13,13,79,42
139,0,0.0,13,13,79,42
140,0,0.0,11,13,80,44
141,0,0.0,12,12,81,44
142,0,0.0,12,12,81,44
143,0,0.0,12,13,81,45
144,0,0.0,11,12,82,46
145,0,0.0,13,12,83,46
146,0,0.0,12,13,83,47
147,0,0.0,12,13,83,47
148,0,0.0,11,13,83,49
149,0,0.0,11,14,83,50
150,0,0.0,11,15,83,50
151,0,0.0,11,14,84,51
152,0,0.0,11,14,84,51
153,0,0.0,13,13,85,51
154,0,0.0,14,12,86,51
155,0,0.0,14,11,87,51
