tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,14,1,0
2,-1,0.0,15,14,1,0
3,-1,0.0,15,14,1,0
4,-1,0.0,15,14,1,0
5,-1,0.0,15,14,1,0
6,-1,0.0,15,15,1,0
7,-1,0.0,15,15,1,0
8,-1,0.0,15,15,1,0
9,-1,0.0,14,15,1,1
10,1,0.04,14,15,1,1
11,1,0.08,14,15,1,1
12,1,0.06,14,15,1,1
13,1,0.039999999999999994,13,15,1,2
14,1,0.019999999999999993,14,15,1,2
15,1,0.0,14,14,2,2
16,1,0.0,13,14,2,3
17,1,0.0,12,13,3,4
18,1,0.0,13,13,3,4
19,1,0.0,12,12,4,5
20,1,0.0,12,13,4,5
21,1,0.0,12,13,4,6
22,1,0.0,12,13,5,7
23,1,0.0,12,12,6,7
24,1,0.0,13,13,6,7
25,1,0.0,11,12,7,9
26,1,0.0,12,12,7,9
27,1,0.0,12,12,8,10
28,1,0.0,12,13,8,10
29,1,0.0,11,12,9,11
30,1,0.0,12,13,9,12
31,1,0.0,11,12,10,13
32,1,0.0,12,13,10,13
33,1,0.0,12,13,10,13
34,1,0.0,13,13,11,13
35,1,0.0,14,12,12,13
36,1,0.0,15,13,12,13
37,1,0.0,14,13,12,14
38,1,0.0,13,12,13,15
39,1,0.0,12,12,14,16
40,1,0.0,12,13,14,16
41,1,0.0,11,13,14,17
42,1,0.0,12,11,16,17
43,1,0.0,13,12,16,17
44,1,0.0,14,13,16,17
45,1,0.0,13,11,18,18
46,1,0.0,14,11,18,18
47,1,0.0,13,13,18,19
48,1,0.0,13,12,19,19
49,1,0.0,12,12,19,20
50,1,0.0,13,13,20,20
51,1,0.0,12,13,20,21
52,1,0.0,13,13,20,21
53,1,0.0,13,14,20,21
54,1,0.0,14,13,21,21
55,1,0.0,14,13,22,21
56,1,0.0,14,13,22,22
57,1,0.0,13,11,24,23
58,1,0.0,13,11,24,23
59,1,0.0,13,12,24,23
60,1,0.0,13,11,26,23
61,1,0.0,12,10,27,25
62,1,0.0,13,12,27,25
63,1,0.0,13,12,27,25
64,1,0.0,13,11,28,25
65,1,0.0,13,13,28,25
66,1,0.0,14,13,29,26
67,1,0.0,14,13,29,26
68,1,0.0,14,12,30,26
69,1,0.0,14,13,30,26
70,1,0.0,14,13,30,26
71,1,0.0,15,13,31,26
72,1,0.0,15,12,32,26
73,1,0.0,15,11,34,26
74,1,0.0,13,11,34,28
75,1,0.0,12,11,34,29
76,1,0.0,12,11,35,29
77,1,0.0,12,12,35,29
78,1,0.0,12,13,36,29
79,1,0.0,13,13,36,30
80,1,0.0,14,13,36,30
81,1,0.0,12,13,37,32
82,1,0.0,12,13,37,32
83,1,0.0,12,14,37,32
84,1,0.0,11,13,38,34
85,1,0.0,9,13,38,36
86,1,0.0,11,14,38,36
87,1,0.0,11,13,39,36
88,1,0.0,11,13,39,36
89,1,0.0,13,14,39,36
90,1,0.0,15,13,40,36
91,1,0.0,14,13,40,37
92,1,0.0,13,14,40,38
93,1,0.0,12,14,40,39
94,1,0.0,11,14,40,40
95,1,0.0,11,15,40,40
96,1,0.0,11,14,41,41
97,1,0.0,12,14,41,41
98,1,0.0,12,14,41,42
99,1,0.0,13,12,43,42
100,1,0.0,12,12,43,43
101,1,0.0,13,13,43,43
102,1,0.0,12,13,43,44
103,1,0.0,12,12,44,45
104,1,0.0,11,14,44,46
105,1,0.0,11,14,44,47
106,1,0.0,11,14,44,47
107,1,0.0,12,14,44,47
108,1,0.0,13,13,46,47
109,1,0.0,13,13,46,48
110,1,0.0,12,13,46,50
111,1,0.0,12,12,47,50
112,1,0.0,11,12,47,51
113,1,0.0,11,14,47,51
114,1,0.0,10,13,48,53
115,1,0.0,12,13,48,53
116,1,0.0,11,14,48,54
117,1,0.0,12,14,48,54
118,1,0.0,11,13,49,55
119,1,0.0,13,13,50,55
120,1,0.0,13,12,51,55
121,1,0.0,13,12,51,56
122,1,0.0,12,12,51,57
123,1,0.0,13,12,52,57
124,1,0.0,13,13,52,57
125,1,0.0,13,13,53,57
126,1,0.0,14,12,54,57
127,1,0.0,14,12,54,58
128,1,0.0,13,12,55,59
129,1,0.0,13,10,57,59
130,1,0.0,13,11,57,59
131,1,0.0,13,12,57,59
132,1,0.0,13,12,57,60
133,1,0.0,14,13,57,60
134,1,0.0,14,15,57,60
135,1,0.0,14,14,58,60
136,1,0.0,12,13,59,62
137,1,0.0,12,12,60,63
138,1,0.0,12,12,60,63
139,1,0.0,12,12,60,63
140,1,0.0,12,11,62,63
141,1,0.0,13,12,62,64
142,1,0.0,14,13,62,64
143,1,0.0,13,12,63,65
144,1,0.0,12,12,63,66
145,1,0.0,12,14,63,66
146,1,0.0,13,14,63,66
147,1,0.0,12,14,63,67
148,1,0.0,13,14,64,67
149,1,0.0,13,13,65,68
150,1,0.0,12,13,65,69
151,1,0.0,12,13,65,69
152,1,0.0,13,13,65,69
153,1,0.0,13,13,66,69
154,1,0.0,14,14,66,69
155,1,0.0,13,13,67,71
156,1,0.0,12,13,67,72
157,1,0.0,11,12,68,73
158,1,0.0,10,13,68,74
159,1,0.0,10,13,68,74
160,1,0.0,12,14,68,74
161,1,0.0,13,14,68,74
162,1,0.0,14,13,70,74
163,1,0.0,15,13,70,74
164,1,0.0,14,13,70,75
165,1,0.0,13,13,70,76
166,1,0.0,12,11,72,77
167,1,0.0,11,13,72,78
168,1,0.0,11,13,72,78
169,1,0.0,12,12,73,78
170,1,0.0,13,12,73,78
171,1,0.0,14,14,73,78
172,1,0.0,13,14,73,80
173,1,0.0,13,14,73,80
174,1,0.0,12,15,73,81
175,1,0.0,12,14,74,81
176,1,0.0,11,14,74,82
177,1,0.0,13,14,74,82
178,1,0.0,13,14,74,82
