tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,14,15,0,1
9,-1,0.0,14,15,0,1
10,-1,0.0,14,15,0,1
11,-1,0.0,14,14,1,1
12,-1,0.0,14,14,1,1
13,-1,0.0,15,13,2,1
14,-1,0.0,15,13,2,1
15,1,0.04,14,13,2,2
16,1,0.08,13,13,3,3
17,1,0.06,12,13,3,4
18,1,0.1,11,14,3,5
19,1,0.08,11,13,4,5
20,1,0.12,11,13,4,6
21,1,0.16,11,14,4,7
22,1,0.2,12,13,5,7
23,1,0.24000000000000002,11,13,5,9
24,1,0.28,10,14,5,10
25,1,0.32,10,14,5,11
26,1,0.36,10,13,6,12
27,1,0.39999999999999997,9,14,6,13
28,1,0.43999999999999995,11,14,6,13
29,1,0.4799999999999999,11,14,6,14
30,1,0.5199999999999999,12,14,6,14
31,1,0.5599999999999999,12,15,6,15
32,1,0.6,13,15,6,15
33,1,0.64,12,15,6,16
34,1,0.68,13,15,6,16
35,1,0.7200000000000001,12,14,7,17
36,1,0.7600000000000001,13,14,7,17
37,1,0.8000000000000002,12,14,7,18
38,1,0.8400000000000002,13,14,7,18
39,1,0.8800000000000002,13,14,7,18
40,1,0.9200000000000003,14,15,7,18
41,1,0.9600000000000003,13,15,7,19
42,1,1.0,14,14,8,19
43,1,1.0,14,13,9,19
44,1,1.0,14,13,9,19
45,1,1.0,13,13,9,20
46,1,1.0,13,13,9,21
47,1,1.0,13,14,9,21
48,1,1.0,12,15,9,22
49,1,1.0,12,15,9,22
50,1,1.0,11,15,9,24
51,1,1.0,12,15,9,24
52,1,1.0,11,15,9,25
53,1,1.0,11,15,9,26
54,1,1.0,10,15,9,27
55,1,1.0,12,15,9,27
56,1,1.0,11,15,9,28
57,1,1.0,12,15,9,28
58,1,1.0,12,15,9,29
59,1,1.0,13,15,9,29
60,1,1.0,13,15,9,29
61,1,1.0,14,15,9,29
62,1,1.0,14,14,10,29
63,1,1.0,14,13,11,30
64,1,1.0,13,13,11,31
65,1,1.0,13,13,11,31
66,1,1.0,12,13,11,32
67,1,1.0,11,14,11,33
68,1,1.0,12,15,11,33
69,1,1.0,12,15,11,34
70,1,1.0,11,15,11,35
71,1,1.0,12,15,11,35
72,1,1.0,13,15,11,35
73,1,1.0,12,15,11,36
74,1,1.0,13,15,11,36
75,1,1.0,14,14,12,36
76,1,1.0,13,14,12,37
77,1,1.0,13,14,12,37
78,1,1.0,14,14,12,37
79,1,1.0,14,13,13,37
80,1,1.0,14,13,14,37
81,1,1.0,15,12,15,37
82,1,1.0,14,11,16,38
83,1,1.0,14,11,16,38
84,1,1.0,12,12,16,40
85,1,1.0,11,12,17,41
86,1,1.0,11,13,17,41
87,1,1.0,11,13,18,42
88,1,1.0,10,13,18,43
89,1,1.0,11,13,18,44
90,1,1.0,12,14,18,44
91,1,1.0,11,14,18,45
92,1,1.0,11,15,18,46
93,1,1.0,12,15,18,46
94,1,1.0,13,14,19,46
95,1,1.0,13,14,19,46
96,1,1.0,14,14,19,46
97,1,1.0,14,14,19,47
98,1,1.0,14,14,19,47
99,1,1.0,14,15,19,47
100,1,1.0,13,15,19,48
101,1,1.0,13,15,19,48
102,1,1.0,14,15,19,48
103,1,1.0,13,15,19,49
104,1,1.0,13,14,20,49
105,1,1.0,13,14,20,50
106,1,1.0,12,14,20,51
107,1,1.0,12,14,20,51
108,1,1.0,12,14,20,52
109,1,1.0,11,15,20,53
110,1,1.0,11,15,20,54
111,1,1.0,12,15,20,54
112,1,1.0,12,14,21,54
113,1,1.0,13,14,21,54
114,1,1.0,14,14,21,54
115,1,1.0,14,12,23,55
116,1,1.0,13,11,24,56
117,1,1.0,13,12,24,56
118,1,1.0,12,11,25,57
119,1,1.0,11,11,25,58
120,1,1.0,12,12,26,58
121,1,1.0,13,13,26,58
122,1,1.0,13,12,27,58
123,1,1.0,13,12,28,59
124,1,1.0,14,12,28,59
125,1,1.0,13,13,28,60
126,1,1.0,13,13,28,60
127,1,1.0,13,14,28,60
128,1,1.0,13,15,28,61
129,1,1.0,13,15,28,61
130,1,1.0,13,14,29,62
131,1,1.0,13,14,29,62
132,1,1.0,13,14,29,62
133,1,1.0,14,14,29,62
134,1,1.0,13,14,29,63
135,1,1.0,13,15,29,64
136,1,1.0,13,14,30,64
137,1,1.0,12,14,30,65
138,1,1.0,12,14,30,65
139,1,1.0,13,14,30,65
140,1,1.0,13,14,30,66
141,1,1.0,12,15,30,67
142,1,1.0,12,15,30,68
143,1,1.0,12,14,31,68
144,1,1.0,11,14,31,69
145,1,1.0,11,14,31,70
146,1,1.0,11,13,32,71
147,1,1.0,12,13,32,71
148,1,1.0,11,14,32,72
149,1,1.0,12,13,33,72
150,1,1.0,13,13,33,72
151,1,1.0,13,14,33,73
