tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,15,15,0,0
11,-1,0.0,15,15,0,0
12,-1,0.0,14,15,0,1
13,-1,0.0,14,15,0,1
14,-1,0.0,13,14,1,2
15,1,0.04,13,14,1,2
16,1,0.08,12,13,2,3
17,1,0.12,11,12,3,5
18,1,0.09999999999999999,11,12,3,5
19,1,0.07999999999999999,11,13,3,6
20,1,0.059999999999999984,10,12,4,7
21,1,0.09999999999999998,10,13,4,8
22,1,0.07999999999999997,12,14,4,8
23,1,0.11999999999999997,11,13,5,9
24,1,0.15999999999999998,11,13,5,10
25,1,0.19999999999999998,11,14,5,11
26,1,0.24,11,14,5,12
27,1,0.27999999999999997,11,14,5,12
28,1,0.31999999999999995,11,14,6,13
29,1,0.35999999999999993,12,14,6,13
30,1,0.3999999999999999,13,14,6,13
31,1,0.4399999999999999,13,13,7,14
32,1,0.47999999999999987,12,13,7,15
33,1,0.5199999999999999,12,14,7,16
34,1,0.5599999999999999,11,14,7,17
35,1,0.6,11,13,8,17
36,1,0.64,11,14,8,18
37,1,0.68,11,14,8,19
38,1,0.7200000000000001,12,13,9,19
39,1,0.7600000000000001,12,13,9,20
40,1,0.8000000000000002,11,14,9,21
41,1,0.8400000000000002,10,12,11,23
42,1,0.8800000000000002,11,12,11,23
43,1,0.9200000000000003,11,13,11,23
44,1,0.9600000000000003,11,13,11,24
45,1,1.0,12,13,11,24
46,1,1.0,14,15,11,24
47,1,1.0,14,15,11,24
48,1,1.0,13,15,11,25
49,1,1.0,14,15,11,25
50,1,1.0,13,14,12,26
51,1,1.0,12,13,13,27
52,1,1.0,11,13,13,28
53,1,1.0,12,13,13,28
54,1,1.0,11,12,14,29
55,1,1.0,11,13,14,30
56,1,1.0,12,14,14,30
57,1,1.0,12,14,14,31
58,1,1.0,11,13,15,32
59,1,1.0,12,13,16,32
60,1,1.0,12,12,17,33
61,1,1.0,11,12,17,34
62,1,1.0,12,12,17,34
63,1,1.0,12,13,17,35
64,1,1.0,11,14,17,36
65,1,1.0,12,15,17,36
66,1,1.0,13,15,17,36
67,1,1.0,13,15,17,36
68,1,1.0,13,14,18,37
69,1,1.0,13,14,18,38
70,1,1.0,13,13,19,38
71,1,1.0,12,13,19,39
72,1,1.0,11,13,19,40
73,1,1.0,12,14,19,40
74,1,1.0,13,14,19,40
75,1,1.0,13,15,19,40
76,1,1.0,13,14,20,41
77,1,1.0,13,13,21,42
78,1,1.0,13,13,21,42
79,1,1.0,12,13,21,43
80,1,1.0,11,11,23,44
81,1,1.0,12,12,23,44
82,1,1.0,12,13,23,45
83,1,1.0,12,13,23,45
84,1,1.0,12,13,23,46
85,1,1.0,13,13,25,46
86,1,1.0,13,13,25,46
87,1,1.0,13,12,26,47
88,1,1.0,12,12,26,48
89,1,1.0,12,12,26,49
90,1,1.0,12,13,27,49
91,1,1.0,11,13,27,50
92,1,1.0,11,13,28,51
93,1,1.0,12,13,28,51
94,1,1.0,13,13,28,51
95,1,1.0,12,13,29,52
96,1,1.0,13,12,30,52
97,1,1.0,14,13,30,52
98,1,1.0,12,13,30,54
99,1,1.0,12,13,30,54
100,1,1.0,12,14,30,55
101,1,1.0,11,15,30,56
102,1,1.0,10,15,30,57
103,1,1.0,12,15,30,57
104,1,1.0,11,15,30,58
105,1,1.0,12,15,30,58
106,1,1.0,13,15,30,58
107,1,1.0,13,15,30,59
108,1,1.0,13,15,30,59
109,1,1.0,13,13,32,60
110,1,1.0,13,12,33,60
111,1,1.0,12,12,33,61
112,1,1.0,12,12,33,62
113,1,1.0,11,11,34,63
114,1,1.0,11,13,34,64
115,1,1.0,11,14,34,64
116,1,1.0,11,13,35,65
117,1,1.0,12,12,36,65
118,1,1.0,12,13,36,66
119,1,1.0,12,12,37,67
120,1,1.0,11,12,37,68
121,1,1.0,12,12,38,68
122,1,1.0,11,12,39,69
123,1,1.0,12,12,39,69
124,1,1.0,12,13,39,70
125,1,1.0,13,13,39,70
126,1,1.0,13,13,40,70
127,1,1.0,13,14,40,71
128,1,1.0,13,14,40,71
129,1,1.0,14,13,41,71
130,1,1.0,13,13,41,72
131,1,1.0,13,14,41,72
132,1,1.0,14,13,42,72
133,1,1.0,12,13,42,74
134,1,1.0,12,13,43,74
135,1,1.0,13,13,43,74
136,1,1.0,12,12,44,75
137,1,1.0,12,12,45,75
138,1,1.0,13,11,46,76
139,1,1.0,13,12,46,76
140,1,1.0,13,10,48,76
141,1,1.0,13,11,48,77
142,1,0.98,13,11,49,77
143,1,0.96,13,12,49,78
144,1,0.94,12,12,49,79
145,1,0.9199999999999999,12,13,50,79
146,1,0.8999999999999999,13,13,50,79
147,1,0.8799999999999999,13,13,51,79
