tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,15,15,0,0
11,-1,0.0,15,15,0,0
12,1,0.04,15,15,0,0
13,1,0.08,15,15,0,0
14,1,0.06,14,14,1,1
15,1,0.039999999999999994,13,13,2,2
16,1,0.019999999999999993,12,11,4,3
17,1,0.0,12,11,4,3
18,1,0.0,12,10,5,3
19,1,0.0,12,9,7,4
20,1,0.0,13,9,8,4
21,1,0.0,14,10,9,4
22,1,0.0,13,8,11,5
23,1,0.0,12,9,11,6
24,0,0.04,13,9,13,6
25,0,0.08,13,10,13,6
26,0,0.12,13,11,13,6
27,0,0.16,13,13,13,7
28,0,0.2,14,11,15,7
29,0,0.24000000000000002,13,13,15,8
30,0,0.28,13,12,16,8
31,0,0.32,12,12,16,9
32,0,0.36,13,11,17,9
33,0,0.33999999999999997,13,13,17,9
34,0,0.31999999999999995,14,12,18,9
35,0,0.35999999999999993,14,11,20,9
36,0,0.3399999999999999,15,11,20,9
37,0,0.3199999999999999,14,11,21,10
38,0,0.2999999999999999,14,10,22,10
39,0,0.27999999999999986,14,11,22,10
40,0,0.25999999999999984,14,12,23,10
41,0,0.23999999999999985,13,12,23,11
42,0,0.27999999999999986,14,11,25,11
43,0,0.31999999999999984,14,11,26,11
44,0,0.3599999999999998,14,11,26,11
45,0,0.3999999999999998,14,11,27,11
46,0,0.4399999999999998,15,11,27,11
47,0,0.47999999999999976,14,12,28,12
48,0,0.5199999999999998,14,12,29,12
49,0,0.5599999999999998,14,12,29,12
50,0,0.5999999999999999,14,12,30,12
51,0,0.6399999999999999,14,12,30,12
52,0,0.6799999999999999,14,11,32,13
53,0,0.72,14,11,33,13
54,0,0.76,14,10,34,13
55,0,0.8,14,10,35,13
56,0,0.8400000000000001,14,9,36,13
57,0,0.8800000000000001,15,11,36,13
58,0,0.9200000000000002,15,11,37,13
59,0,0.9600000000000002,15,11,38,13
60,0,1.0,14,12,38,14
61,0,1.0,14,12,39,14
62,0,1.0,14,12,39,14
63,0,1.0,13,12,40,15
64,0,1.0,13,13,40,15
65,0,1.0,14,11,42,15
66,0,1.0,13,12,42,16
67,0,1.0,13,12,42,16
68,0,1.0,14,12,43,16
69,0,1.0,14,12,43,16
70,0,1.0,13,14,43,17
71,0,0.98,14,13,44,17
72,0,0.96,13,13,44,18
73,0,0.94,12,12,46,19
74,0,0.9199999999999999,12,11,47,19
75,0,0.8999999999999999,13,11,47,19
76,0,0.8799999999999999,13,11,48,19
77,0,0.8599999999999999,14,10,49,19
78,0,0.8399999999999999,13,11,50,21
79,0,0.8199999999999998,12,11,51,22
80,0,0.7999999999999998,12,11,51,22
81,0,0.7799999999999998,12,11,52,22
82,0,0.7599999999999998,11,12,52,23
83,0,0.7399999999999998,13,12,53,23
84,0,0.7799999999999998,14,12,54,23
85,0,0.8199999999999998,13,11,55,24
86,0,0.8599999999999999,13,12,55,24
87,0,0.8999999999999999,14,10,57,24
88,0,0.94,14,11,57,24
89,0,0.98,14,11,58,24
90,0,1.0,15,12,58,24
91,0,1.0,15,11,59,24
92,0,1.0,15,13,59,24
93,0,1.0,14,13,59,25
94,0,1.0,13,13,60,26
95,0,1.0,12,12,61,27
96,0,0.98,12,13,61,27
97,0,0.96,12,12,62,27
98,0,0.94,13,12,62,27
99,0,0.98,14,12,63,27
100,0,1.0,14,13,63,28
101,0,0.98,13,12,64,29
102,0,0.96,12,13,64,30
103,0,0.94,12,12,65,30
104,0,0.9199999999999999,12,12,66,30
105,0,0.8999999999999999,13,12,66,30
106,0,0.8799999999999999,14,12,67,30
107,0,0.8599999999999999,14,11,68,31
108,0,0.8399999999999999,14,12,68,31
109,0,0.8199999999999998,14,11,70,31
110,0,0.7999999999999998,14,11,70,31
111,0,0.7799999999999998,14,11,71,31
112,0,0.7599999999999998,15,11,72,31
113,0,0.7399999999999998,15,10,73,31
114,0,0.7199999999999998,14,12,73,32
115,0,0.7599999999999998,14,10,75,32
116,0,0.7999999999999998,14,11,75,32
117,0,0.8399999999999999,14,11,76,32
118,0,0.8799999999999999,14,12,76,32
119,0,0.9199999999999999,14,12,76,33
120,0,0.96,14,14,76,33
121,0,1.0,14,13,77,33
122,0,1.0,12,13,78,35
123,0,0.98,12,12,79,35
124,0,1.0,13,10,81,35
125,0,1.0,13,10,81,35
126,0,1.0,13,10,82,35
127,0,1.0,15,10,83,35
128,0,1.0,15,10,84,35
129,0,1.0,15,12,84,35
130,0,1.0,15,11,85,35
131,0,1.0,15,11,86,35
132,0,1.0,14,12,86,36
133,0,1.0,14,12,87,36
134,0,1.0,14,11,88,36
135,0,1.0,14,12,88,36
136,0,1.0,14,13,88,36
137,0,1.0,15,13,88,36
138,0,1.0,14,14,88,37
