tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,15,15,0,0
11,-1,0.0,15,15,0,0
12,1,0.04,15,15,0,0
13,1,0.08,14,14,1,1
14,1,0.12,13,14,1,2
15,1,0.09999999999999999,13,13,2,2
16,1,0.07999999999999999,13,12,3,2
17,1,0.059999999999999984,12,9,6,3
18,1,0.03999999999999998,13,9,7,3
19,1,0.01999999999999998,13,7,9,4
20,1,0.0,12,8,9,5
21,1,0.0,12,8,10,5
22,1,0.0,13,11,10,5
23,0,0.04,13,10,12,5
24,0,0.08,13,11,13,6
25,0,0.12,14,11,13,6
26,0,0.16,14,11,14,6
27,0,0.2,14,10,15,6
28,0,0.24000000000000002,14,12,15,6
29,0,0.28,15,12,16,6
30,0,0.32,14,12,16,7
31,0,0.36,14,12,17,7
32,0,0.39999999999999997,14,13,17,7
33,0,0.43999999999999995,13,12,18,8
34,0,0.4799999999999999,13,12,19,8
35,0,0.5199999999999999,14,11,20,8
36,0,0.5599999999999999,14,12,20,8
37,0,0.6,14,11,21,8
38,0,0.58,15,11,22,8
39,0,0.5599999999999999,14,11,23,9
40,0,0.6,13,11,24,10
41,0,0.64,13,10,25,10
42,0,0.68,13,11,25,10
43,0,0.7200000000000001,13,11,26,10
44,0,0.7600000000000001,14,12,26,10
45,0,0.8000000000000002,15,13,26,10
46,0,0.8400000000000002,14,13,27,11
47,0,0.8800000000000002,14,12,28,11
48,0,0.9200000000000003,14,12,29,11
49,0,0.9600000000000003,13,10,31,12
50,0,1.0,13,9,32,12
51,0,1.0,14,10,32,12
52,0,1.0,14,10,33,12
53,0,1.0,14,10,34,12
54,0,1.0,15,12,34,12
55,0,1.0,14,11,36,13
56,0,1.0,14,10,37,13
57,0,1.0,14,10,38,13
58,0,1.0,14,11,38,13
59,0,1.0,14,10,39,13
60,0,1.0,14,12,39,14
61,0,1.0,14,13,39,14
62,0,1.0,14,13,40,14
63,0,1.0,14,12,41,14
64,0,1.0,14,13,41,14
65,0,1.0,15,12,42,14
66,0,1.0,15,12,42,14
67,0,1.0,14,12,43,15
68,0,1.0,14,13,43,15
69,0,1.0,14,12,44,15
70,0,1.0,13,13,44,16
71,0,1.0,13,12,45,16
72,0,1.0,14,12,46,16
73,0,1.0,13,12,46,17
74,0,1.0,13,12,47,17
75,0,1.0,14,11,48,17
76,0,1.0,13,12,48,18
77,0,1.0,13,13,48,18
78,0,1.0,14,13,48,18
79,0,1.0,14,12,50,18
80,0,1.0,13,13,50,19
81,0,1.0,14,12,51,19
82,0,1.0,14,11,52,19
83,0,1.0,14,11,52,19
84,0,1.0,14,11,54,19
85,0,1.0,15,11,54,19
86,0,1.0,15,11,55,19
87,0,1.0,14,11,56,20
88,0,1.0,14,10,57,20
89,0,1.0,14,12,57,20
90,0,1.0,13,12,57,21
91,0,1.0,13,13,57,21
92,0,1.0,14,13,58,21
93,0,1.0,14,13,59,21
94,0,1.0,14,12,60,21
95,0,1.0,15,12,60,21
96,0,1.0,15,11,61,21
97,0,1.0,15,10,63,21
98,0,1.0,15,11,63,21
99,0,1.0,15,12,63,21
100,0,1.0,14,11,64,22
101,0,1.0,13,11,65,23
102,0,1.0,13,12,66,23
103,0,1.0,13,12,66,23
104,0,1.0,13,11,67,23
105,0,1.0,14,11,68,23
106,0,1.0,15,12,68,23
107,0,1.0,14,13,68,24
108,0,1.0,14,11,70,24
109,0,1.0,13,12,70,25
110,0,1.0,13,13,70,25
111,0,1.0,13,12,71,25
112,0,1.0,13,11,72,26
113,0,1.0,13,12,73,26
114,0,1.0,14,9,76,26
115,0,1.0,13,9,76,27
116,0,1.0,13,10,76,27
117,0,1.0,14,11,76,27
118,0,1.0,14,11,77,27
119,0,1.0,14,13,78,27
120,0,1.0,15,12,79,27
121,0,1.0,15,12,79,27
122,0,1.0,15,11,80,27
123,0,1.0,15,11,81,27
124,0,1.0,15,11,82,27
125,0,1.0,15,12,82,27
126,0,1.0,15,12,82,27
127,0,1.0,15,13,82,27
128,0,1.0,14,13,83,28
129,0,1.0,14,13,84,28
130,0,1.0,14,12,85,28
131,0,1.0,14,10,87,28
132,0,1.0,14,10,87,28
133,0,1.0,15,11,87,28
134,0,1.0,15,11,88,28
135,0,1.0,15,12,88,28
136,0,1.0,15,12,90,28
137,0,1.0,15,11,91,28
138,0,1.0,15,10,92,28
139,0,1.0,15,11,92,28
140,0,1.0,15,10,93,28
141,0,1.0,15,11,94,28
142,0,1.0,15,11,95,28
143,0,1.0,15,11,96,28
144,0,1.0,15,11,96,28
145,0,1.0,15,11,97,28
146,0,1.0,15,11,98,28
147,0,1.0,14,11,99,29
148,0,1.0,14,12,99,29
149,0,1.0,14,12,99,29
150,0,1.0,14,12,100,29
