tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,15,0,0
6,-1,0.0,15,15,0,0
7,-1,0.0,15,15,0,0
8,-1,0.0,15,15,0,0
9,-1,0.0,15,15,0,0
10,-1,0.0,15,15,0,0
11,-1,0.0,15,15,0,0
12,1,0.04,15,15,0,0
13,1,0.08,14,14,1,1
14,1,0.12,14,12,3,1
15,1,0.09999999999999999,14,11,4,1
16,1,0.07999999999999999,12,8,7,3
17,1,0.059999999999999984,12,6,9,3
18,1,0.03999999999999998,12,4,12,4
19,1,0.01999999999999998,12,5,13,4
20,0,0.04,12,5,14,4
21,0,0.08,14,7,15,4
22,0,0.12,14,9,15,4
23,0,0.16,15,12,15,4
24,0,0.2,15,13,15,4
25,0,0.24000000000000002,15,14,15,4
26,0,0.28,15,15,15,4
27,0,0.32,15,15,15,4
28,0,0.36,14,15,15,5
29,0,0.39999999999999997,13,13,17,6
30,0,0.43999999999999995,12,12,18,7
31,0,0.4799999999999999,12,12,18,7
32,0,0.5199999999999999,12,10,20,7
33,0,0.5599999999999999,13,10,20,7
34,0,0.5399999999999999,13,11,21,8
35,0,0.58,14,11,22,8
36,0,0.5599999999999999,14,10,23,8
37,0,0.5399999999999999,13,11,24,9
38,0,0.5199999999999999,13,9,26,9
39,0,0.5599999999999999,14,9,27,9
40,0,0.6,14,9,28,9
41,0,0.64,14,10,28,9
42,0,0.68,15,10,29,9
43,0,0.7200000000000001,15,12,29,9
44,0,0.7600000000000001,15,13,29,9
45,0,0.8000000000000002,15,12,31,9
46,0,0.8400000000000002,15,11,32,9
47,0,0.8800000000000002,15,12,32,9
48,0,0.9200000000000003,15,11,33,9
49,0,0.9600000000000003,15,11,33,9
50,0,1.0,15,11,35,9
51,0,1.0,15,12,35,9
52,0,1.0,15,10,37,9
53,0,1.0,15,11,37,9
54,0,1.0,14,10,38,10
55,0,1.0,14,10,40,10
56,0,1.0,14,9,41,10
57,0,1.0,13,11,41,11
58,0,1.0,13,11,41,11
59,0,1.0,14,12,41,11
60,0,1.0,14,14,41,11
61,0,1.0,14,13,43,11
62,0,1.0,15,13,43,11
63,0,1.0,15,12,44,11
64,0,1.0,15,11,45,11
65,0,1.0,15,11,45,11
66,0,1.0,15,12,46,11
67,0,1.0,15,11,47,11
68,0,1.0,15,11,48,11
69,0,1.0,14,11,49,12
70,0,1.0,14,10,50,12
71,0,1.0,14,10,51,12
72,0,1.0,14,9,53,12
73,0,1.0,14,10,53,12
74,0,1.0,15,10,54,12
75,0,1.0,15,11,54,12
76,0,1.0,15,12,54,12
77,0,1.0,15,13,55,12
78,0,1.0,15,12,56,12
79,0,1.0,15,12,57,12
80,0,1.0,15,12,57,12
81,0,1.0,15,11,58,12
82,0,1.0,15,12,58,12
83,0,1.0,15,11,60,12
84,0,1.0,15,11,61,12
85,0,1.0,15,11,61,12
86,0,1.0,15,11,62,12
87,0,1.0,15,10,63,12
88,0,1.0,14,11,64,13
89,0,1.0,14,11,65,13
90,0,1.0,14,9,67,13
91,0,1.0,14,10,67,13
92,0,1.0,14,11,67,13
93,0,1.0,15,11,68,13
94,0,1.0,15,12,68,13
95,0,1.0,15,13,69,13
96,0,1.0,15,12,70,13
97,0,1.0,15,11,71,13
98,0,1.0,15,12,71,13
99,0,1.0,15,11,72,13
100,0,1.0,15,11,73,13
101,0,1.0,15,11,74,13
102,0,1.0,15,11,75,13
103,0,1.0,15,10,76,13
104,0,1.0,15,10,77,13
105,0,1.0,14,10,78,14
106,0,1.0,14,10,79,14
107,0,1.0,14,11,79,14
108,0,1.0,14,12,79,14
109,0,1.0,14,12,80,14
110,0,1.0,15,13,80,14
111,0,1.0,15,13,81,14
112,0,1.0,15,13,81,14
113,0,1.0,15,11,83,14
114,0,1.0,15,12,83,14
115,0,1.0,15,11,84,14
116,0,1.0,15,11,85,14
117,0,1.0,15,10,86,14
118,0,1.0,15,11,87,14
119,0,1.0,15,10,88,14
120,0,1.0,15,10,89,14
121,0,1.0,15,10,90,14
122,0,1.0,15,10,91,14
123,0,1.0,15,10,92,14
124,0,1.0,15,11,92,14
125,0,1.0,14,11,93,15
126,0,1.0,14,12,93,15
127,0,1.0,14,13,93,15
128,0,1.0,14,13,94,15
129,0,1.0,14,11,96,15
130,0,1.0,15,12,96,15
131,0,1.0,15,11,97,15
132,0,1.0,15,11,97,15
133,0,1.0,15,11,98,15
134,0,1.0,15,12,99,15
135,0,1.0,15,11,100,15
136,0,1.0,15,11,101,15
137,0,1.0,15,10,102,15
138,0,1.0,15,9,104,15
139,0,1.0,15,10,104,15
140,0,1.0,15,11,104,15
141,0,1.0,15,11,105,15
142,0,1.0,14,12,105,16
143,0,1.0,13,14,105,17
144,0,1.0,12,13,106,18
145,0,1.0,12,13,106,18
146,0,1.0,11,13,107,19
147,0,1.0,11,13,107,20
148,0,1.0,12,12,108,20
