tick,objective_controller,objective_progress,alive_team_0,alive_team_1,kills_team_0,kills_team_1
1,-1,0.0,15,15,0,0
2,-1,0.0,15,15,0,0
3,-1,0.0,15,15,0,0
4,-1,0.0,15,15,0,0
5,-1,0.0,15,14,1,0
6,-1,0.0,14,14,1,1
7,-1,0.0,14,14,1,1
8,-1,0.0,14,13,2,1
9,-1,0.0,14,13,2,1
10,-1,0.0,14,14,2,1
11,1,0.04,15,14,2,1
12,1,0.08,14,14,2,2
13,1,0.06,14,14,3,2
14,1,0.039999999999999994,14,14,3,2
15,1,0.019999999999999993,13,14,3,3
16,1,0.0,12,12,5,4
17,1,0.0,13,11,6,4
18,1,0.0,12,11,7,5
19,1,0.0,11,11,7,6
20,1,0.0,12,10,8,6
21,1,0.0,12,11,9,7
22,1,0.0,12,12,9,7
23,1,0.0,12,12,10,8
24,1,0.0,13,11,11,8
25,1,0.0,13,12,11,8
26,1,0.0,13,12,12,9
27,1,0.0,13,12,12,9
28,1,0.0,14,13,12,9
29,1,0.0,14,14,12,9
30,1,0.0,14,13,13,9
31,1,0.0,14,14,13,10
32,1,0.0,13,14,13,11
33,1,0.0,13,14,13,11
34,1,0.0,12,14,13,12
35,1,0.0,12,14,14,12
36,1,0.0,13,14,14,12
37,1,0.0,13,14,14,13
38,1,0.0,12,13,15,14
39,1,0.0,12,13,15,15
40,1,0.0,11,13,16,16
41,1,0.0,10,12,17,17
42,1,0.0,10,12,17,18
43,1,0.0,11,13,17,18
44,1,0.0,11,12,18,19
45,1,0.0,12,13,18,19
46,1,0.04,12,14,18,20
47,1,0.08,13,13,19,20
48,1,0.12,12,13,19,21
49,1,0.16,13,14,19,21
50,1,0.2,13,13,20,21
51,1,0.24000000000000002,14,13,20,21
52,1,0.28,13,14,20,22
53,1,0.32,14,14,20,22
54,1,0.36,13,14,20,23
55,1,0.39999999999999997,13,15,20,23
56,1,0.43999999999999995,12,14,21,24
57,1,0.4799999999999999,13,14,21,24
58,1,0.5199999999999999,12,14,21,25
59,1,0.5599999999999999,12,13,22,26
60,1,0.5399999999999999,12,12,23,26
61,1,0.58,12,13,23,27
62,1,0.62,11,12,24,28
63,1,0.66,12,12,24,28
64,1,0.64,13,13,24,28
65,1,0.68,12,14,24,29
66,1,0.66,13,14,24,29
67,1,0.7000000000000001,13,14,25,30
68,1,0.7400000000000001,13,13,26,30
69,1,0.7800000000000001,13,13,26,30
70,1,0.8200000000000002,13,13,26,31
71,1,0.8600000000000002,13,13,26,31
72,1,0.9000000000000002,13,14,26,32
73,1,0.9400000000000003,13,15,26,32
74,1,0.9200000000000003,13,15,26,32
75,1,0.9600000000000003,13,15,26,33
76,1,0.9400000000000003,13,14,27,33
77,1,0.9200000000000003,13,14,27,34
78,1,0.9000000000000002,13,12,29,34
79,1,0.8800000000000002,12,11,30,35
80,1,0.8600000000000002,13,11,30,35
81,1,0.8400000000000002,12,12,30,36
82,1,0.8200000000000002,13,11,31,36
83,1,0.8000000000000002,12,13,31,37
84,1,0.8400000000000002,12,14,31,38
85,1,0.8800000000000002,11,14,31,39
86,1,0.9200000000000003,12,13,32,39
87,1,0.9600000000000003,12,14,32,39
88,1,1.0,12,13,33,40
89,1,1.0,13,13,33,40
90,1,1.0,13,13,33,41
91,1,1.0,13,14,33,41
92,1,1.0,13,13,34,41
93,1,1.0,13,14,34,42
94,1,1.0,12,14,34,43
95,1,1.0,13,14,34,43
96,1,1.0,12,13,35,44
97,1,1.0,12,13,36,44
98,1,1.0,12,13,36,45
99,1,1.0,13,13,36,45
100,1,1.0,12,12,37,46
101,1,1.0,13,13,37,46
102,1,1.0,12,13,38,47
103,1,0.98,13,13,38,47
104,1,1.0,12,12,39,48
105,1,1.0,13,13,39,48
106,1,1.0,12,12,40,49
107,1,1.0,13,13,40,49
108,1,1.0,12,13,40,50
109,1,1.0,13,14,40,50
110,1,1.0,12,14,40,51
111,1,1.0,12,15,40,52
112,1,1.0,11,15,40,53
113,1,1.0,12,14,41,53
114,1,1.0,11,14,41,54
115,1,1.0,12,14,41,54
116,1,1.0,13,13,42,54
117,1,1.0,14,13,42,54
118,1,1.0,13,14,42,55
119,1,1.0,13,14,42,56
120,1,1.0,13,13,43,56
121,1,1.0,12,14,43,57
122,1,1.0,11,14,43,58
123,1,1.0,12,14,43,58
124,1,1.0,13,14,43,58
125,1,1.0,13,15,43,58
126,1,1.0,13,14,44,59
127,1,1.0,14,14,44,59
128,1,0.98,14,13,45,59
129,1,0.96,13,13,45,60
130,1,0.94,12,12,46,61
131,1,0.9199999999999999,13,13,46,61
132,1,0.8999999999999999,12,12,47,62
133,1,0.8799999999999999,12,12,48,62
134,1,0.9199999999999999,12,11,49,63
135,1,0.96,13,12,49,63
136,1,0.94,13,11,50,63
137,1,0.9199999999999999,14,11,51,63
138,1,0.8999999999999999,14,11,52,63
139,1,0.8799999999999999,14,11,53,64
140,1,0.8599999999999999,14,11,53,64
141,1,0.8199999999999998,14,11,54,64
142,1,0.7799999999999998,13,12,54,65
143,1,0.7599999999999998,13,13,54,65
